ligand,receptor,ligand_uniprot,receptor_uniprot,y,set
COL4A6,CD47,Q14031,Q08722,1,train
HLA-E,DLC1,P13747,Q96QB1,0,train
CCL13,ACKR2,Q99616,O00590,1,train
CSF2,MAS1,P04141,P04201,0,train
TNF,PGAP6,P01375,Q9HCN3,0,train
TNF,C9orf57,P01375,Q5W0N0,0,train
TGFB3,ENG,P10600,P17813,1,train
VTN,PRPH2,P04004,P23942,0,train
SAA1,OR5H1,P0DJI8,A6NKK0,0,train
APOE,LRP8,P02649,Q14114,1,train
INHBA,HRH3,P08476,Q9Y5N1,0,train
FGA,ITGAX,P02671,P20702,1,train
PDGFC,PDGFRB,Q9NRA1,P09619,1,train
S100A1,NRN1L,P23297,Q496H8,0,train
B2M,RAB8B,P61769,Q92930,0,train
SLIT2,TMEFF1,O94813,Q8IYR6,0,train
ADAM15,OR13G1,Q13444,Q8NGZ3,0,train
C1QA,CR1,P02745,P17927,1,train
APOB,ITGAM,P04114,P11215,1,train
HLA-B,TAS1R1,P01889,Q7RTX1,0,train
CEL,CXCR4,P19835,P61073,1,train
SEMA4B,DCBLD2,Q9NPR2,Q96PD2,1,train
F13A1,ITGB1,P00488,P05556,1,train
VIP,RAMP2,P01282,O60895,1,train
TNFSF12,CTAGE4,O43508,Q8IX94,0,train
RELN,CPNE2,P78509,Q96FN4,0,train
LPA,ITGAM,P08519,P11215,1,train
PF4,LRP1,P02776,Q07954,1,train
HSP90B1,TLR4,P14625,O00206,1,train
PLG,ITGA9,P00747,Q13797,1,train
TNFSF15,DOK7,O95150,Q18PE1,0,train
FGF3,SLC38A8,P11487,A6NNN8,0,train
FGF20,FGFR3,Q9NP95,P22607,1,train
UCN2,CRHR1,Q96RP3,P34998,1,train
FGF4,TIAM1,P08620,Q13009,0,train
CXCL8,ADCY3,P10145,O60266,0,train
TPH1,HTR2B,P17752,P41595,1,train
EFNA5,FRMPD4,P52803,Q14CM0,0,train
GNAI2,CNR1,P04899,P21554,1,train
IL13,IL13RA1,P35225,P78552,1,train
FN1,FAT1,P02751,Q14517,0,train
B2M,SLCO4C1,P61769,Q6ZQN7,0,train
WNT7A,LDLR,O00755,P01130,1,train
NPPC,NPR1,P23582,P16066,1,train
SERPING1,ADRA2B,P05155,P18089,0,train
SEMA3E,TMEM233,O15041,B4DJY2,0,train
TNF,CAV2,P01375,P51636,0,train
IL13,SAMSN1,P35225,Q9NSI8,0,train
PI3,PLD2,P19957,O14939,1,train
EFNA5,GYPE,P52803,P15421,0,train
C5,PTGER4,P01031,P35408,0,train
PLAU,OR2M5,P00749,A3KFT3,0,train
CXCL6,ADRA2A,P80162,P08913,1,val
ICAM1,KIAA0319,P05362,Q5VV43,0,val
SERPINC1,SPEM2,P01008,Q0P670,0,val
TNF,TRAF2,P01375,Q12933,1,val
SHBG,GPRC6A,P04278,Q5T6X5,1,val
SEMA3D,PLXND1,O95025,Q9Y4D7,1,val
APP,NOTCH2,P05067,Q04721,1,val
JAG1,NOTCH3,P78504,Q9UM47,1,val
CKLF,CCR4,Q9UBR5,P51679,1,val
TAC1,EPHB1,P20366,P54762,0,val
ADAM9,ITGB5,Q13443,P18084,1,val
PPBP,MTNR1A,P02775,P48039,1,val
TNF,TNFRSF1B,P01375,P20333,1,val
INHBA,PCDHB4,P08476,Q9Y5E5,0,val
DSPP,ITGB1,Q9NZW4,P05556,1,val
CALM1,FAS,P0DP23,P25445,1,val
CD86,CD28,P42081,P10747,1,val
GSTP1,SLC15A5,P09211,A6NIM6,0,val
HLA-A,TRBV12-5,P04439,A0A1B0GX78,0,val
MFAP5,NOTCH1,Q13361,P46531,1,val
FGF18,FGFR4,O76093,P22455,1,val
SCT,ADRB2,P09683,P07550,1,val
GDF9,BMPR2,O60383,Q13873,1,val
HLA-A,BRAF,P04439,P15056,0,val
LHB,AQP4,P01229,P55087,0,val
GDF6,BMPR1A,Q6KF10,P36894,1,val
HSPA1A,GRIN2D,P0DMV8,O15399,1,val
CXCL9,KIR2DL3,Q07325,P43628,1,val
ASIP,DOCK4,P42127,Q8N1I0,0,val
EFEMP1,TRBV12-3,Q12805,P01733,0,val
CCL22,ACKR2,O00626,O00590,1,val
FN1,OR6B1,P02751,O95007,0,val
PTN,SDC3,P21246,O75056,1,val
CLCF1,LIFR,Q9UBD9,P42702,1,val
LPL,LRP1,P06858,Q07954,1,val
ADCYAP1,PTH1R,P18509,Q03431,1,val
TGM2,SDC4,P21980,P31431,1,val
CCL16,GRM7,O15467,Q14831,1,val
VEGFA,SGMS2,P15692,Q8NHU3,0,val
NRG1,ADGRL1,Q02297,O94910,1,val
AGT,ADGRD2,P01019,Q7Z7M1,0,val
BMP8A,BMPR1B,Q7Z5Y6,O00238,1,val
ADM2,RAMP3,Q7Z4H4,O60896,1,val
EFNB3,ABHD2,Q15768,P08910,0,val
THBS1,CD36,P07996,P16671,1,val
PDGFC,PDGFRA,Q9NRA1,P16234,1,val
VTN,SLC22A25,P04004,Q6T423,0,val
WNT2,PCDHA13,P09544,Q9Y5I0,0,val
RLN3,RFTN1,Q8WXF3,Q14699,0,val
EDN1,NMUR2,P05305,Q9GZQ4,0,val
CALM3,MYLK2,P0DP25,Q9H1R3,1,val
ADM,PTH1R,P35318,Q03431,1,val
LAMB3,DPEP1,Q13751,P16444,0,val
SHANK1,ADGRL2,Q9Y566,O95490,1,val
HRG,C9orf135,P04196,Q5VTT2,0,val
PSEN1,MAPK3,P49768,P27361,0,val
PSEN1,NOTCH3,P49768,Q9UM47,1,val
AVP,RAMP3,P01185,O60896,1,val
CD14,TLR4,P08571,O00206,1,val
SEMA6D,SLC44A4,Q8NFY4,Q53GD3,0,val
CXCL14,CXCR4,O95715,P61073,1,val
NPW,NPBWR2,Q8N729,P48146,1,val
ADAM10,TSPAN12,O14672,O95859,1,val
HSP90AA1,PTCHD3,P07900,Q3KNS1,0,val
RARRES2,CCRL2,Q99969,O00421,1,val
CFC1,ACVR2A,P0CG37,P27037,1,val
CD14,NPY6R,P08571,Q99463,0,val
RGMB,TRAV29DV5,Q6NW40,P04437,0,val
BMP6,ITGA8,P22004,P53708,0,val
DLL4,TCTA,Q9NR61,P57738,0,val
AGRN,RAB13,O00468,P51153,0,val
KNG1,OR1J1,P01042,Q8NGS3,0,val
SERPING1,SELE,P05155,P16581,1,val
ANGPTL3,TRBJ1-6,Q9Y5C1,A0A0J9YWX3,0,val
NRG1,ERBB4,Q02297,Q15303,1,val
SEMA4A,PLXNB2,Q9H3S1,O15031,1,val
FGF12,FGFR2,P61328,P21802,1,val
CALM1,TRPC5,P0DP23,Q9UL62,1,val
VEGFA,GLI3,P15692,P10071,0,val
LAMA1,SDC2,P25391,P34741,1,val
CD160,FZD6,O95971,O60353,0,val
VIP,CRK,P01282,P46108,0,val
COL6A3,ITGA1,P12111,P56199,1,val
CCN3,RIMS3,P48745,Q9UJD0,0,val
CALCA,RAMP3,P01258,O60896,1,val
ADAM10,NOTCH1,O14672,P46531,1,val
FGF1,EGFR,P05230,P00533,1,val
CGB3,CPLX3,P0DN86,Q8WVH0,0,val
PDGFB,SNAPIN,P01127,O95295,0,val
TNFSF13,CNTNAP1,O75888,P78357,0,val
NGF,METTL5,P01138,Q9NRN9,0,val
CCL27,OR10H4,Q9Y4X3,Q8NGA5,0,val
DLL3,XPNPEP2,Q9NYJ7,O43895,0,val
COL4A6,RHBDF2,Q14031,Q6PJF5,0,val
CNTF,UNC79,P26441,Q9P2D8,0,val
ICAM4,HPCA,Q14773,P84074,0,val
CCL27,ACKR2,Q9Y4X3,O00590,1,val
IFNA4,IFNAR1,P05014,P17181,1,val
LRPAP1,CLDN5,P30533,O00501,0,val
VCL,ALK,P18206,Q9UM73,1,val
COL4A3,CTTNBP2NL,Q01955,Q9P2B4,0,val
COL5A2,DDR1,P05997,Q08345,1,val
JAM3,TCTA,Q9BX67,P57738,0,val
LAMA3,TRAV9-2,Q16787,A0A087WT02,0,val
UCN3,BRICD5,Q969E3,Q6PL45,0,val
TGFB1,CSF2RA,P01137,P15509,0,val
APOB,MYLK,P04114,Q15746,0,val
VCAM1,C3orf18,P19320,Q9UK00,0,val
FGF4,SNX14,P08620,Q9Y5W7,0,val
F8,ASGR2,P00451,P07307,1,val
BMP7,MAPK3,P18075,P27361,0,val
LEFTY2,ACVR2B,O00292,Q13705,1,val
IL7,IL7R,P13232,P16871,1,val
COL1A2,ITGA2,P08123,P17301,1,val
SCGB3A1,NOTCH3,Q96QR1,Q9UM47,1,val
TGS1,RXRA,Q96RS0,P19793,1,val
GH2,CACNA1B,P01242,Q00975,0,val
TGFB1,ITGB5,P01137,P18084,1,val
ASIP,LRRC7,P42127,Q96NW7,0,val
B2M,SYT14,P61769,Q8NB59,0,val
TGFB1,PHACTR2,P01137,O75167,0,val
AFDN,CLIC5,P55196,Q9NZA1,0,val
AVP,CFAP58,P01185,Q5T655,0,val
HLA-A,LILRA1,P04439,O75019,1,val
HPX,OR5H1,P02790,A6NKK0,0,val
AMELX,OR2A1,Q99217,Q8NGT9,0,val
LTA,RIPK1,P01374,Q13546,1,val
ULBP2,KLRK1,Q9BZM5,P26718,1,val
FGB,ITGB1,P02675,P05556,1,val
IL18,IL1RL2,Q14116,Q9HB29,1,val
FGF5,FGFR2,P12034,P21802,1,val
GDF1,SMAD3,P27539,P84022,1,val
SAA1,MTNR1A,P0DJI8,P48039,1,val
HSP90AA1,EGFR,P07900,P00533,1,val
L1CAM,MRC1,P32004,P22897,0,val
CD200,CD209,P41217,Q9NNX6,0,val
EFNA5,SLC25A6,P52803,P12236,0,val
EFNA5,TNS2,P52803,Q63HR2,0,val
FGF4,FGFR4,P08620,P22455,1,val
KNG1,ITGB2,P01042,P05107,1,val
GAL,GALR1,P22466,P47211,1,val
EFNB2,MYRFL,P52799,Q96LU7,0,val
COL18A1,ITGB1,P39060,P05556,1,val
VTN,TMEM268,P04004,Q5VZI3,0,val
IHH,IQGAP1,Q14623,P46940,0,val
AGRP,STAC3,O00253,Q96MF2,0,val
FBLN1,ITGB1,P23142,P05556,1,val
SAA1,RET,P0DJI8,P07949,0,val
LAMC1,ITGA3,P11047,P26006,1,val
HMGB1,TLR4,P09429,O00206,1,val
HLA-E,KLRD1,P13747,Q13241,1,val
SHANK1,TUBD1,Q9Y566,Q9UJT1,0,val
LAMC1,ITGB4,P11047,P16144,1,val
NPY,MTNR1A,P01303,P48039,1,val
NPS,RAMP3,P0C0P6,O60896,1,val
LAMB1,ITGA3,P07942,P26006,1,val
BMP4,BMPR2,P12644,Q13873,1,val
IL6,F3,P05231,P13726,1,val
GNAI2,TRAV21,P04899,A0A0B4J279,0,val
PDCD1LG2,MLIP,Q9BQ51,Q5VWP3,0,val
NGF,TRPV1,P01138,Q8NER1,1,val
CSF1,LRRTM1,P09603,Q86UE6,0,val
HRG,FCGR1A,P04196,P12314,1,val
IL4,IL4R,P05112,P24394,1,val
SHANK1,ADGRL1,Q9Y566,O94910,1,val
FBN1,ITGB3,P35555,P05106,1,val
MMP9,TMEM131,P14780,Q92545,0,val
NID1,CCKBR,P14543,P32239,0,val
CGN,ATP6V1B1,Q9P2M7,P15313,0,val
CALM2,GRM7,P0DP24,Q14831,1,val
SEMA6A,PLXNA4,Q9H2E6,Q9HCM2,1,val
CSHL1,GHR,Q14406,P10912,1,val
CXCL9,CXCR3,Q07325,P49682,1,val
EFNB3,RGS2,Q15768,P41220,0,val
KISS1,VSIG8,Q15726,P0DPA2,0,val
HLA-G,KLRD1,P17693,Q13241,1,val
VTN,ITGB5,P04004,P18084,1,val
LAMC2,ITGB4,Q13753,P16144,1,val
S100A4,CABP4,P26447,P57796,0,val
THBS1,CD47,P07996,Q08722,1,val
IHH,HHIP,Q14623,Q96QV1,1,val
MADCAM1,SYN1,Q13477,P17600,0,val
HSPG2,SLC41A2,P98160,Q96JW4,0,val
IFNA16,OR51Q1,P05015,Q8NH59,0,val
FGF4,NRP1,P08620,O14786,1,val
PLAU,ANO5,P00749,Q75V66,0,val
CLEC2D,TM2D1,Q9UHP7,Q9BX74,0,val
FASLG,SLC24A1,P48023,O60721,0,val
TNFSF13,SDC2,O75888,P34741,1,val
AGT,TRBV5-4,P01019,A0A0C4DH59,0,val
TNFSF9,PVR,P41273,P15151,1,val
FGB,ITGA2B,P02675,P08514,1,val
TGFB1,OR52N1,P01137,Q8NH53,0,val
FGF8,FGFR2,P55075,P21802,1,val
SPON2,GRAMD1B,Q9BUD6,Q3KR37,0,val
VTN,OR2A12,P04004,Q8NGT7,0,val
AFDN,VN1R5,P55196,Q7Z5H4,0,val
CCL7,TRPA1,P80098,O75762,0,val
COL4A2,ITGB5,P08572,P18084,1,val
FGF2,WDFY3,P09038,Q8IZQ1,0,val
MTMR4,CD69,Q9NYA4,Q07108,0,val
FN1,APBB1,P02751,O00213,0,val
IL2,SLC22A11,P60568,Q9NSA0,0,val
APOE,ITGA4,P02649,P13612,0,val
OSM,OSMR,P13725,Q99650,1,val
IGF1,IGF2R,P05019,P11717,1,val
PLAU,ITGB2,P00749,P05107,1,val
NGF,SAPCD2,P01138,Q86UD0,0,val
CCL3,ATP2B1,P10147,P20020,0,val
GIP,DPP4,P09681,P27487,1,val
CALM1,VIPR1,P0DP23,P32241,1,val
TGFB1,TRBJ2-3,P01137,A0A0B4J200,0,val
INS,LRP2,P01308,P98164,1,val
CEACAM5,CD1D,P06731,P15813,1,val
SERPINE1,ITGB5,P05121,P18084,1,val
LAMC1,ITGA2,P11047,P17301,1,val
LAMB1,ITGA6,P07942,P23229,1,val
IAPP,P2RX1,P10997,P51575,0,val
CCL16,BBS2,O15467,Q9BXC9,0,val
KNG1,OR51C1P,P01042,A0A3B3IT45,0,val
FBN1,DYNC2I2,P35555,Q96EX3,0,val
MMP12,PLAUR,P39900,Q03405,1,val
PTPN6,CLEC12A,P29350,Q5QGZ9,1,val
FGF18,FGFR3,O76093,P22607,1,val
BDNF,GLRB,P23560,P48167,0,val
TGM2,ANO1,P21980,Q5XXA6,0,val
BMP2,HJV,P12643,Q6ZVN8,1,val
GDF9,AQP12A,O60383,Q8IXF9,0,val
CXCL11,HLA-DRA,O14625,P01903,0,val
HLA-G,CD4,P17693,P01730,1,val
TPH1,HTR6,P17752,P50406,1,val
B2M,PEAR1,P61769,Q5VY43,0,val
GNAI2,IL17RE,P04899,Q8NFR9,0,val
TGFB1,VIPR2,P01137,P41587,0,val
HLA-G,KIR3DL1,P17693,P43629,1,val
CCL26,CCR2,Q9Y258,P41597,1,val
ALB,PLEKHB1,P02768,Q9UF11,0,val
CALM2,AQP1,P0DP24,P29972,1,val
ADAMTS3,CCBE1,O15072,Q6UXH8,1,val
NRG1,ERBB3,Q02297,P21860,1,val
B2M,KIR2DL3,P61769,P43628,1,val
GDF9,TSPAN2,O60383,O60636,0,val
CALCB,ADRB2,P10092,P07550,1,val
APP,NCSTN,P05067,Q92542,1,val
NRG1,LGR4,Q02297,Q9BXB1,1,val
IL25,IL17RB,Q9H293,Q9NRM6,1,val
SAA1,MAP2K2,P0DJI8,P36507,0,val
SEMA3B,SUSD3,Q13214,Q96L08,0,val
THBS2,ARHGEF9,P35442,O43307,0,val
TNFSF8,OR2T11,P32971,Q8NH01,0,val
S100A9,SNAP23,P06702,O00161,0,val
VEGFC,FLT4,P49767,P35916,1,val
POMC,LYVE1,P01189,Q9Y5Y7,0,val
PROC,PLAUR,P04070,Q03405,0,val
LEP,LRP2,P41159,P98164,1,val
CD40LG,OR5AP2,P29965,Q8NGF4,0,val
CXCL8,SPRY1,P10145,O43609,0,val
PYY,FAP,P10082,Q12884,1,val
GCG,GLP1R,P01275,P43220,1,val
DLL1,XKR6,O00548,Q5GH73,0,val
EFNA5,EPHA4,P52803,P54764,1,val
IFNA14,IFNAR1,P01570,P17181,1,val
PTH2,PCDHGA2,Q96A98,Q9Y5H1,0,val
ADAM10,ITGA6,O14672,P23229,0,val
LPL,VLDLR,P06858,P98155,1,val
NMU,MAPKAP1,P48645,Q9BPZ7,0,val
IL12A,XKRY2,P29459,A2RUG3,0,val
NCAM1,GFRA1,P13591,P56159,1,val
TNC,TNFRSF18,P24821,Q9Y5U5,0,val
ICAM1,DNAJC25,P05362,Q9H1X3,0,val
DEFB103B,CCR6,P81534,P51684,1,val
LEFTY2,ACVR2A,O00292,P27037,1,val
FYN,KIR3DS1,P06241,Q14943,0,val
HP,DOCK5,P00738,Q9H7D0,0,val
APOC3,OR6C76,P02656,A6NM76,0,val
VTN,ITGAV,P04004,P06756,1,val
TSLP,TMC2,Q969D9,Q8TDI7,0,val
WNT7B,TRPC7,P56706,Q9HCX4,0,val
ICAM4,PLB1,Q14773,Q6P1J6,0,val
CALM1,CRHR1,P0DP23,P34998,1,val
SPX,GALR2,Q9BT56,O43603,1,val
NPY,TRBJ2-2,P01303,A0A0A0MT94,0,val
APOA4,LDLR,P06727,P01130,1,val
CCL14,CCR5,Q16627,P51681,1,val
IFNB1,MFSD2B,P01574,A6NFX1,0,val
CXCL8,SDC1,P10145,P18827,1,val
F12,OR6K3,P00748,Q8NGY3,0,val
LRPAP1,NPY6R,P30533,Q99463,0,val
PROC,NSMF,P04070,Q6X4W1,0,val
NPVF,NPFFR2,Q9HCQ7,Q9Y5X5,1,val
RLN2,CALCRL,P04090,Q16602,0,val
IL31,IL31RA,Q6EBC2,Q8NI17,1,val
ADM2,RAMP2,Q7Z4H4,O60895,1,val
VIP,C5AR1,P01282,P21730,0,val
TPH1,HTR1F,P17752,P30939,1,val
HLA-B,CD3D,P01889,P04234,1,val
VIP,ADRB3,P01282,P13945,1,val
INSL3,TSHR,P51460,P16473,1,val
TGFB3,CD276,P10600,Q5ZPR3,0,val
CALM1,CNGA2,P0DP23,Q16280,1,val
ACE,BDKRB2,P12821,P30411,1,test
ACE,AGTR2,P12821,P50052,1,test
ACE,CD38,P12821,P28907,0,test
ACE,TRGV3,P12821,P03979,0,test
ADAM12,ITGB1,O43184,P05556,1,test
ADAM12,SDC4,O43184,P31431,1,test
ADAM12,ITGA9,O43184,Q13797,1,test
ADAM12,OR5M9,O43184,Q8NGP3,0,test
ADAM12,TRAV25,O43184,A0A0B4J276,0,test
ADAM12,BTNL10,O43184,A8MVZ5,0,test
ADAM2,ITGB1,Q99965,P05556,1,test
ADAM2,CD9,Q99965,P21926,1,test
ADAM2,ITGA6,Q99965,P23229,1,test
ADAM2,ITGB7,Q99965,P26010,1,test
ADAM2,ITGA9,Q99965,Q13797,1,test
ADAM2,NOX3,Q99965,Q9HBY0,0,test
ADAM2,RTP5,Q99965,Q14D33,0,test
ADAM2,SLC22A6,Q99965,Q4U2R8,0,test
ADAM2,FSHR,Q99965,P23945,0,test
ADAM2,CD80,Q99965,P33681,0,test
AHSG,INSR,P02765,P06213,1,test
AHSG,TMEM14EP,P02765,Q6UXP3,0,test
AMH,ACVR1,P03971,Q04771,1,test
AMH,EGFR,P03971,P00533,1,test
AMH,AMHR2,P03971,Q16671,1,test
AMH,SLC7A9,P03971,P82251,0,test
AMH,OR10J6P,P03971,Q8NGY7,0,test
AMH,CALHM4,P03971,Q5JW98,0,test
ANG,EGFR,P03950,P00533,1,test
ANG,PTPRQ,P03950,Q9UMZ3,0,test
ANGPT1,ITGA5,Q15389,P08648,1,test
ANGPT1,TIE1,Q15389,P35590,1,test
ANGPT1,TEK,Q15389,Q02763,1,test
ANGPT1,ITGB1,Q15389,P05556,1,test
ANGPT1,TMEM131,Q15389,Q92545,0,test
ANGPT1,OR4N2,Q15389,Q8NGD1,0,test
ANGPT1,DYM,Q15389,Q7RTS9,0,test
ANGPT1,OR5F1,Q15389,O95221,0,test
ANGPT4,TIE1,Q9Y264,P35590,1,test
ANGPT4,TEK,Q9Y264,Q02763,1,test
ANGPT4,UBXN10,Q9Y264,Q96LJ8,0,test
ANGPT4,SLAMF8,Q9Y264,Q9P0V8,0,test
ANXA1,FPR2,P04083,P25090,1,test
ANXA1,FPR1,P04083,P21462,1,test
ANXA1,DYSF,P04083,O75923,1,test
ANXA1,EGFR,P04083,P00533,1,test
ANXA1,ADRA2A,P04083,P08913,1,test
ANXA1,MTNR1A,P04083,P48039,1,test
ANXA1,FPR3,P04083,P25089,1,test
ANXA1,GRM7,P04083,Q14831,1,test
ANXA1,FNBP1,P04083,Q96RU3,0,test
ANXA1,OR2G6,P04083,Q5TZ20,0,test
ANXA1,DPY19L1,P04083,Q2PZI1,0,test
ANXA1,DHX36,P04083,Q9H2U1,0,test
ANXA1,SLC10A7,P04083,Q0GE19,0,test
ANXA1,TLR1,P04083,Q15399,0,test
ANXA1,TOM1L1,P04083,O75674,0,test
ANXA1,C11orf24,P04083,Q96F05,0,test
APOC4,VLDLR,P55056,P98155,1,test
APOC4,RAB34,P55056,Q9BZG1,0,test
ARF1,CHRM3,P84077,P20309,1,test
ARF1,PLD2,P84077,O14939,1,test
ARF1,INSR,P84077,P06213,1,test
ARF1,TRPM2,P84077,O94759,0,test
ARF1,SMLR1,P84077,H3BR10,0,test
ARF1,CIB1,P84077,Q99828,0,test
BCAN,NRCAM,Q96GW7,Q92823,1,test
BCAN,EGFR,Q96GW7,P00533,1,test
BCAN,FCRL4,Q96GW7,Q96PJ5,0,test
BCAN,PIP5K1C,Q96GW7,O60331,0,test
BGN,TLR4,P21810,O00206,1,test
BGN,TLR1,P21810,Q15399,1,test
BGN,TLR2,P21810,O60603,1,test
BGN,LY96,P21810,Q9Y6Y9,1,test
BGN,OR52A4P,P21810,A6NMU1,0,test
BGN,SLC44A3,P21810,Q8N4M1,0,test
BGN,LRRC8B,P21810,Q6P9F7,0,test
BGN,EPS15,P21810,P42566,0,test
BMP1,BMPR2,P13497,Q13873,1,test
BMP1,BMPR1A,P13497,P36894,1,test
BMP1,BMPR1B,P13497,O00238,1,test
BMP1,GSK3B,P13497,P49841,0,test
BMP1,SDF4,P13497,Q9BRK5,0,test
BMP1,SLC7A13,P13497,Q8TCU3,0,test
BMP10,ENG,O95393,P17813,1,test
BMP10,ACVRL1,O95393,P37023,1,test
BMP10,BMPR2,O95393,Q13873,1,test
BMP10,BMPR1A,O95393,P36894,1,test
BMP10,BMPR1B,O95393,O00238,1,test
BMP10,ACVR2A,O95393,P27037,1,test
BMP10,PARD6G,O95393,Q9BYG4,0,test
BMP10,NOD1,O95393,Q9Y239,0,test
BMP10,SHB,O95393,Q15464,0,test
BMP10,LRRC3,O95393,Q9BY71,0,test
BMP10,SLC1A6,O95393,P48664,0,test
BMP10,SLC47A1,O95393,Q96FL8,0,test
BMP5,BMPR2,P22003,Q13873,1,test
BMP5,BMPR1A,P22003,P36894,1,test
BMP5,BMPR1B,P22003,O00238,1,test
BMP5,HJV,P22003,Q6ZVN8,1,test
BMP5,PPP1R14C,P22003,Q8TAE6,0,test
BMP5,KCNH6,P22003,Q9H252,0,test
BMP5,MERTK,P22003,Q12866,0,test
BMP5,LINC00596,P22003,Q86U02,0,test
BMP8B,BMPR2,P34820,Q13873,1,test
BMP8B,BMPR1B,P34820,O00238,1,test
BMP8B,PLAUR,P34820,Q03405,1,test
BMP8B,BMPR1A,P34820,P36894,1,test
BMP8B,BACE1,P34820,P56817,0,test
BMP8B,CACNA1D,P34820,Q01668,0,test
BMP8B,TRAV12-2,P34820,A0A075B6T6,0,test
BMP8B,ATP6V1E1,P34820,P36543,0,test
BSG,SELE,P35613,P16581,1,test
BSG,ESR1,P35613,P03372,0,test
BST1,CAV1,Q10588,Q03135,1,test
BST1,CD226,Q10588,Q15762,0,test
BTLA,VTCN1,Q7Z6A9,Q7Z7D3,1,test
BTLA,TNFRSF14,Q7Z6A9,Q92956,1,test
BTLA,CD247,Q7Z6A9,P20963,1,test
BTLA,CD79A,Q7Z6A9,P11912,1,test
BTLA,RTP4,Q7Z6A9,Q96DX8,0,test
BTLA,TMEM202,Q7Z6A9,A6NGA9,0,test
BTLA,GHR,Q7Z6A9,P10912,0,test
BTLA,NRXN2,Q7Z6A9,Q9P2S2,0,test
C1QTNF1,AVPR2,Q9BXJ1,P30518,1,test
C1QTNF1,SLC1A6,Q9BXJ1,P48664,0,test
C3,ITGAM,P01024,P11215,1,test
C3,CD19,P01024,P15391,1,test
C3,CD46,P01024,P15529,1,test
C3,MTNR1A,P01024,P48039,1,test
C3,C5AR2,P01024,Q9P296,1,test
C3,CR2,P01024,P20023,1,test
C3,GRM7,P01024,Q14831,1,test
C3,ITGAX,P01024,P20702,1,test
C3,C3AR1,P01024,Q16581,1,test
C3,ADRA2A,P01024,P08913,1,test
C3,IFITM1,P01024,P13164,1,test
C3,CR1,P01024,P17927,1,test
C3,ITGB2,P01024,P05107,1,test
C3,CD81,P01024,P60033,1,test
C3,LRP1,P01024,Q07954,1,test
C3,GPR83,P01024,Q9NYM4,0,test
C3,CNIH4,P01024,Q9P003,0,test
C3,FAM205C,P01024,A6NFA0,0,test
C3,MACIR,P01024,Q96GV9,0,test
C3,TMEM156,P01024,Q8N614,0,test
C3,GNG4,P01024,P50150,0,test
C3,PCDHGA3,P01024,Q9Y5H0,0,test
C3,OR4M1,P01024,Q8NGD0,0,test
C3,OR9Q2,P01024,Q8NGE9,0,test
C3,EWSR1,P01024,Q01844,0,test
C3,CAMK2N1,P01024,Q7Z7J9,0,test
C3,ASGR2,P01024,P07307,0,test
C3,RHOC,P01024,P08134,0,test
C3,P2RY10,P01024,O00398,0,test
C3,ART4,P01024,Q93070,0,test
CALML3,KCNQ1,P27482,P51787,1,test
CALML3,SLC2A13,P27482,Q96QE2,0,test
CALR,MPL,P27797,P40238,1,test
CALR,TSHR,P27797,P16473,1,test
CALR,ITGA3,P27797,P26006,1,test
CALR,LRP1,P27797,Q07954,1,test
CALR,HLA-F,P27797,P30511,1,test
CALR,ITGAV,P27797,P06756,1,test
CALR,ITGA2B,P27797,P08514,1,test
CALR,SCARF1,P27797,Q14162,1,test
CALR,MTNR1A,P27797,P48039,1,test
CALR,ESAM,P27797,Q96AP7,0,test
CALR,GUCA1B,P27797,Q9UMX6,0,test
CALR,OR13C9,P27797,Q8NGT0,0,test
CALR,HSPB11,P27797,Q9Y547,0,test
CALR,SYMPK,P27797,Q92797,0,test
CALR,TMEM237,P27797,Q96Q45,0,test
CALR,FAAH2,P27797,Q6GMR7,0,test
CALR,KCNB2,P27797,Q92953,0,test
CALR,KCNS1,P27797,Q96KK3,0,test
CCL11,CXCR3,P51671,P49682,1,test
CCL11,CCR3,P51671,P51677,1,test
CCL11,DPP4,P51671,P27487,1,test
CCL11,ACKR1,P51671,Q16570,1,test
CCL11,ACKR2,P51671,O00590,1,test
CCL11,ACKR4,P51671,Q9NPB9,1,test
CCL11,CCR2,P51671,P41597,1,test
CCL11,CCR5,P51671,P51681,1,test
CCL11,PKD2L2,P51671,Q9NZM6,0,test
CCL11,ARL6,P51671,Q9H0F7,0,test
CCL11,GPC2,P51671,Q8N158,0,test
CCL11,RARRES1,P51671,P49788,0,test
CCL11,SLC30A10,P51671,Q6XR72,0,test
CCL11,TMEM150B,P51671,A6NC51,0,test
CCL11,CLEC4G,P51671,Q6UXB4,0,test
CCL11,LSR,P51671,Q86X29,0,test
CCL2,CCR4,P13500,P51679,1,test
CCL2,CCR1,P13500,P32246,1,test
CCL2,CCR2,P13500,P41597,1,test
CCL2,CCR5,P13500,P51681,1,test
CCL2,CCR10,P13500,P46092,1,test
CCL2,CCR3,P13500,P51677,1,test
CCL2,ACKR1,P13500,Q16570,1,test
CCL2,ACKR2,P13500,O00590,1,test
CCL2,ACKR4,P13500,Q9NPB9,1,test
CCL2,RAB2B,P13500,Q8WUD1,0,test
CCL2,TMEM198,P13500,Q66K66,0,test
CCL2,TMBIM1,P13500,Q969X1,0,test
CCL2,PCDHGB7,P13500,Q9Y5F8,0,test
CCL2,TRBV6-3,P13500,P0DPF7,0,test
